City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Manavalakurichi,IN,2022-09-06 04:43:45,8.1333,77.3,78.69,85,98,21.83,overcast clouds
60,Mar Del Plata,AR,2022-09-06 04:43:45,-38.0023,-57.5575,55.42,58,0,11.01,clear sky
61,Ostrovnoy,RU,2022-09-06 04:43:46,68.0531,39.5131,45.59,89,100,15.05,light rain
62,Barrow,US,2022-09-06 04:43:46,71.2906,-156.7887,39.22,81,100,13.8,overcast clouds
63,Sinnamary,GF,2022-09-06 04:43:46,5.3833,-52.95,78.17,87,85,12.41,overcast clouds
64,Butaritari,KI,2022-09-06 04:43:47,3.0707,172.7902,82.42,76,72,18.68,broken clouds
65,Vodnyy,RU,2022-09-06 04:43:47,63.5046,53.4095,47.07,73,100,6.26,overcast clouds
66,Deputatskiy,RU,2022-09-06 04:43:47,69.3,139.9,53.35,37,39,6.17,scattered clouds
67,Yangambi,CD,2022-09-06 04:43:48,0.8102,24.4336,71.04,91,7,1.32,clear sky
68,Constitucion,CL,2022-09-06 04:43:48,-35.3333,-72.4167,54.5,88,1,2.59,clear sky
69,Urucui,BR,2022-09-06 04:43:48,-7.2294,-44.5561,79.18,42,3,8.39,clear sky
70,Katangi,IN,2022-09-06 04:40:57,23.45,79.7833,85.26,68,9,0.81,clear sky
71,Qaanaaq,GL,2022-09-06 04:43:49,77.484,-69.3632,39.06,81,98,8.52,overcast clouds
72,Cherskiy,RU,2022-09-06 04:43:49,68.75,161.3,47.97,54,98,9.53,overcast clouds
73,Mayahi,NE,2022-09-06 04:43:49,13.9553,7.6712,77.32,65,100,6.22,light rain
74,Chupa,RU,2022-09-06 04:43:50,66.27,33.0549,46.92,83,100,9.57,light rain
75,Muros,ES,2022-09-06 04:43:50,42.7762,-9.0603,66.83,84,15,13.8,few clouds
76,Lorengau,PG,2022-09-06 04:43:50,-2.0226,147.2712,84.97,66,54,9.91,broken clouds
77,Leningradskiy,RU,2022-09-06 04:43:51,69.3833,178.4167,32.74,94,100,13.33,overcast clouds
78,Yarmouth,US,2022-09-06 04:43:51,41.7057,-70.2286,69.03,88,100,3.44,overcast clouds
79,Sambava,MG,2022-09-06 04:43:51,-14.2667,50.1667,72.73,79,82,13.11,light rain
80,Hamilton,US,2022-09-06 04:42:34,39.1834,-84.5333,72.88,95,100,4.61,overcast clouds
81,Thaba Nchu,ZA,2022-09-06 04:43:52,-29.2093,26.839,41.68,43,0,4.63,clear sky
82,Markova,UA,2022-09-06 04:43:52,48.6758,24.4138,49.1,77,15,1.25,few clouds
83,Codrington,AU,2022-09-06 04:43:52,-38.2667,141.9667,58.57,67,100,10.07,overcast clouds
84,Vila Velha,BR,2022-09-06 04:43:53,-20.3297,-40.2925,66.15,85,0,4.61,clear sky
85,Toora-Khem,RU,2022-09-06 04:43:53,52.4675,96.11,69.82,41,97,1.99,overcast clouds
86,Pevek,RU,2022-09-06 04:43:53,69.7008,170.3133,35.2,97,100,3.51,overcast clouds
87,Bathsheba,BB,2022-09-06 04:43:54,13.2167,-59.5167,79.41,94,40,5.75,scattered clouds
